Laptop,TypeName,Inches,ScreenResolution,CPU_Company,CPU_Type,CPU_Frequency (GHz),RAM (GB),Memory,GPU_Company,GPU_Type,OpSys,Weight (kg)
240,5,15.6,14,1,90,3.0,16,18,3,62,5,2.8
429,1,15.6,3,1,66,2.8,16,29,3,18,4,2.4
195,3,15.6,0,1,38,2.4,6,10,2,52,5,2.3
249,4,13.3,14,1,70,1.8,8,16,2,105,5,1.2
249,4,13.3,3,1,70,1.8,8,16,2,105,5,1.2
403,3,15.6,0,1,46,2.5,8,16,2,52,5,2.2
4,3,15.6,3,1,66,2.8,8,10,3,14,2,2.4
100,1,17.3,3,1,66,2.8,16,18,3,14,5,2.9
276,3,15.6,3,1,36,2.0,4,26,2,46,4,2.1
403,3,15.6,3,1,46,2.5,8,16,2,52,4,2.2
377,4,13.0,5,1,62,2.7,8,29,2,52,5,1.0
198,4,13.3,3,1,70,1.8,8,16,0,74,5,1.4
405,3,17.3,2,1,46,2.5,8,10,3,24,4,2.8
357,3,14.0,3,1,70,1.8,8,16,3,9,5,1.6
226,4,14.0,3,1,53,1.6,8,16,2,105,5,1.6
200,0,13.3,3,1,70,1.8,16,29,2,105,5,1.6
196,3,15.6,3,1,53,1.6,8,16,0,73,2,2.2
509,0,14.0,3,1,53,1.6,8,16,2,105,5,1.7
588,4,13.3,3,1,55,2.5,8,16,2,46,5,1.2
351,3,15.6,3,1,53,1.6,8,10,2,105,5,2.1
190,1,17.3,3,1,66,2.8,16,18,3,18,5,4.4
15,3,15.6,3,1,62,2.7,8,16,3,11,5,2.2
201,3,15.6,3,1,62,2.7,16,10,0,97,5,2.3
142,3,15.6,3,1,46,2.5,8,16,3,7,5,2.0
83,3,17.3,3,1,46,2.5,8,21,3,25,5,2.7
372,3,15.6,3,1,62,2.7,8,10,0,0,5,1.9
88,3,15.6,0,1,38,2.4,4,10,2,52,5,2.4
292,3,15.6,0,0,76,1.5,4,26,0,79,5,2.1
430,1,15.6,3,1,66,2.8,16,18,3,18,5,3.2
246,3,14.0,3,1,46,2.5,8,16,2,52,5,1.6
23,0,13.3,3,1,41,2.3,8,16,2,46,5,1.6
201,3,15.6,3,1,62,2.7,16,16,0,97,2,2.4
6,3,15.6,0,1,36,2.0,4,10,2,46,2,2.1
161,3,15.6,3,0,2,2.5,4,5,0,91,5,2.2
97,1,17.3,3,1,67,2.9,32,31,3,21,5,4.7
39,1,15.6,3,1,47,2.5,8,16,3,14,5,2.5
404,3,15.6,0,1,36,2.0,8,4,2,46,5,2.2
136,3,17.3,3,1,70,1.8,8,5,3,4,5,2.1
64,3,17.3,3,1,62,2.7,8,5,3,25,4,2.7
204,1,15.6,3,1,47,2.5,8,16,3,14,5,2.6
516,0,13.9,3,1,62,2.7,8,16,2,52,5,1.4
203,3,15.6,3,1,70,1.8,8,6,0,74,5,2.2
274,3,15.6,0,1,46,2.5,8,10,2,52,5,2.0
103,1,17.3,3,1,67,2.9,16,16,3,21,5,3.6
349,3,13.3,3,1,53,1.6,4,26,2,105,5,1.5
57,4,13.3,10,1,40,3.1,8,29,2,57,8,1.4
206,0,15.6,3,1,70,1.8,8,10,2,105,5,2.1
98,1,17.3,3,1,66,2.8,16,18,3,32,5,4.3
143,3,15.6,0,0,11,3.0,4,10,0,89,5,1.7
517,0,13.9,3,1,70,1.8,8,29,2,105,5,1.4
3,3,17.3,3,1,39,2.7,4,16,3,36,5,3.0
245,4,13.3,3,1,53,1.6,8,16,2,105,5,1.4
267,3,15.6,0,0,8,2.5,8,4,0,83,5,1.9
327,3,17.3,3,1,70,1.8,16,10,3,37,5,2.9
557,1,17.3,3,1,66,2.8,16,31,3,19,5,4.1
512,0,15.6,3,1,66,2.8,8,29,3,16,5,2.0
208,3,17.3,3,1,70,1.8,8,5,0,74,5,2.8
404,3,15.6,3,1,36,2.0,4,16,2,46,4,2.2
351,3,15.6,3,1,53,1.6,4,26,2,52,5,2.1
